newid,CPUUtilization_Average,NetworkIn_Average,NetworkOut_Average,MemoryUtilization_Average,Final_Target
0,39,199985900,181947520,68.09846248,51.23358797
1,38,197149929,178799262,70.27986756,51.78663439
2,39,196705693,177780732,71.57827558,53.00514658
3,42,196745369,177207045,71.21028895,54.21845304
4,46,196874858,176836746,69.17950295,55.02094829
5,50,199402220,179040792,66.05200587,55.28712773
6,53,207727071,187318096,62.38178465,54.94459631
7,54,222632974,202762891,58.31688853,53.77434387
8,54,239130380,220944974,53.70873526,51.46251246
9,52,247529966,232674945,48.56951796,47.92737833
10,48,239635160,229620027,43.41341257,43.67263812
11,44,215437697,210685551,39.11669829,39.7722143
12,42,183978513,183337527,36.36447025,37.33254984
13,42,157319373,158585389,35.17487082,36.80838958
14,44,143238597,144327848,34.98095013,37.80016796
15,48,142819444,142609676,35.23468918,39.54689133
16,51,153505469,151751393,35.9662066,41.62934397
17,55,173034202,169688491,37.74680254,44.18681891
18,58,199993875,194693444,41.07203881,47.47980207
19,62,231322149,223419718,45.74155858,51.32419408
20,65,260661198,249603568,50.81674683,55.01949239
21,66,280470095,266144855,55.1960652,57.82375916
22,66,286492234,269348322,58.30492366,59.46882873
23,66,280274041,261228502,60.33305334,60.23145585
24,65,267113409,247336824,61.85389429,60.53765995
25,64,251404426,232074892,63.19051181,60.48577885
26,61,233958362,216034187,64.15612753,59.74497855
27,57,213625784,197650030,64.47093573,57.97821319
28,52,190901982,176873249,64.38701519,55.41356725
29,46,169447260,156838694,64.67502117,52.92678989
30,42,154398003,142359690,65.7851935,51.42673072
31,40,149978474,137608446,67.04570097,51.10446985
32,40,158671698,145170474,66.85755633,51.28884447
33,43,181068224,165734133,63.77766568,50.97102676
34,46,214456134,196690702,57.46502898,49.38309564
35,48,250985113,230492650,48.75368814,46.16855468
36,47,278768804,255901358,39.05900475,41.31137265
37,44,287311059,263266014,29.74070098,35.16686563
38,38,273738262,250326574,21.73742498,28.53960223
39,31,244476132,223467716,15.46038531,22.51886684
40,27,211081961,193457067,10.94967528,18.0958668
41,25,184370790,169886341,8.287102,15.91730282
42,26,171275840,158561371,7.963692581,16.32220275
43,30,174503064,161628631,10.73361402,19.38611959
44,35,192500593,177761674,16.91621552,24.74710579
45,40,219350960,201914213,25.7920957,31.45629901
46,44,246480790,226587546,35.79091832,38.24253833
47,47,266644387,245342154,45.35007023,44.11173427
48,48,277651612,256342417,53.55670347,48.7330754
49,49,282824785,262945074,59.98082147,52.25331955
50,51,287730589,270561236,64.15489783,54.81913007
51,52,295870062,282207392,65.597758,56.38503567
52,55,306900702,296485356,64.50037328,56.98744251
53,57,318382717,309453664,62.19259398,57.06971693
54,60,328226280,317775247,60.60689707,57.35869481
55,61,334513195,319402773,61.05638538,58.30523496
56,61,333345786,311749340,63.41865249,59.62034512
57,60,318892572,291184714,66.41469315,60.40678965
58,57,287770989,256317498,68.66205,59.85979243
59,52,244282475,212250463,69.63075661,57.99460499
60,47,200713300,170592697,69.85501417,55.78376712
61,44,171124123,143801226,70.35811475,54.53617726
62,43,163324306,138158835,71.80775288,55.01000312
63,45,175328838,151001203,74.09542817,57.01055337
64,48,198204635,173667112,76.59041237,59.72376447
65,52,221933028,196923318,78.59408182,62.27250417
66,54,239818564,214821602,79.37019151,63.87332882
67,55,249588178,225462966,77.83445566,63.64131083
68,54,251890364,229496803,72.67098492,60.63921842
69,51,247863261,227943370,63.30042055,54.46826808
70,45,237683083,220963690,51.00099735,45.93228161
71,38,221459507,208648089,38.91285229,37.02312337
72,32,201780970,193194596,30.50252479,30.04158457
73,28,185079125,180099222,27.58414606,26.48930129
74,26,179400204,176280354,29.51611831,26.54992666
75,27,189326210,185659824,34.06324349,29.34485777
76,31,211898678,205470711,38.89734078,33.48330732
77,36,237366010,226780472,42.4708541,37.47392349
78,40,254780477,239516152,44.03578614,40.04264941
79,41,258104335,238207420,43.43801885,40.51813752
80,41,248195812,224069740,41.13167185,39.1304061
81,39,230310835,202784887,38.22197369,36.92625231
82,38,210505264,180948428,36.15475704,35.26135059
83,37,193592888,163787593,36.04227463,35.12478181
84,39,182427480,154216040,38.06212788,36.64176627
85,40,177463132,152401878,41.41172233,39.03314907
86,41,176762874,155943245,44.86071631,41.08957704
87,40,177145037,161162300,47.441775,41.88176732
88,37,176301635,165287927,48.78201421,41.25148216
89,34,174730441,168381635,48.9897144,39.80652663
90,32,175938251,173475570,48.37561519,38.49440959
91,32,184053114,184141316,47.29334356,38.05979001
92,35,200071494,200870193,46.14098748,38.69751845
93,38,219895535,219422075,45.34077065,40.04141275
94,41,236369712,233066489,45.1526977,41.4196791
95,43,243900106,237021427,45.4904392,42.22553582
96,42,241674881,231247267,46.04092847,42.25289884
